Num;Referencia;Requisito;Documento;NFR
1;INT-1;The authoring tool provides a set of standard widgets. A widget is a graphical entity representing the interface between a user and the application software.;2001 - beyond.pdf;Funcional
2;INT-2;The set of standard widgets contains picture, to display a bitmap, e.g. a logo;2001 - beyond.pdf;Funcional
3;INT-3;The set of standard widgets contains screen, to define properties for a whole screen;2001 - beyond.pdf;Funcional
4;INT-4;The set of standard widgets contains dialog, to provide a container for other widgets, excluding screens;2001 - beyond.pdf;Funcional
5;INT-5;The set of standard widgets contains text, to provide a field to display a text string;2001 - beyond.pdf;Funcional
6;INT-6;The set of standard widgets contains button, to trigger specific actions on a user request;2001 - beyond.pdf;Funcional
7;INT-7;The set of standard widgets contains slider, to show the current state of an analogue value, e.g. volume;2001 - beyond.pdf;Funcional
8;INT-8;The authoring tool provides for each project a project repository containing a font definition, a colour palette, bitmap images and strings;2001 - beyond.pdf;Funcional
9;INT-9;The authoring tool allows the user to manage a palette and its colours. Colours are organised in a palette.;2001 - beyond.pdf;Funcional
10;INT-10;The authoring tool allows the user to import bitmaps from an external source.;2001 - beyond.pdf;Funcional
11;INT-11;The authoring tool allows the user to simulate a user interface on a PC.;2001 - beyond.pdf;Funcional
12;INT-12;The authoring tool provides a complex widget containing a menu structure and a navigation function.;2001 - beyond.pdf;Funcional
13;INT-13;The authoring tool should provide a menu editor. This menu editor allows the user to define items in a menu.;2001 - beyond.pdf;Funcional
14;INT-14;The authoring tool allows the user to generate C code for a target platform, e.g. a DVD player.;2001 - beyond.pdf;Funcional
15;INT-15;The authoring tool should be able to assist the user in the authoring process by a wizard.;2001 - beyond.pdf;Funcional
16;INT-16;The software structure of the firmware should be suitable for adding a ‘UIinterpreter’ (to interprete and visualize the UI code generated by the UI Editor, so a very important component in this project);2001 - beyond.pdf;Funcional
17;INT-17;The software (firmware) should be able to control all the available hardware and the hardware state should be accessible to the firmware and be exposed to the UI-Code;2001 - beyond.pdf;Funcional
18;INT-18;The software architecture of the firmware should allow the extension with additional functionality;2001 - beyond.pdf;Funcional
19;INT-19;The UI Editor should allow flexible creation and modification of the user interface of the Vetronics application. This must be done in an interactive and visual way;2001 - beyond.pdf;Funcional
20;INT-20; The UI Editor should be able to communicate with the Vetronics hardware, to download the developed UI to the Vetronics system for real use. This communication is done using different kinds of interfacing (Serial port, USB, FireWire, IrDa, CAN, …).;2001 - beyond.pdf;Funcional
21;INT-21;The UI Editor should not only allow the management of the UI of the Vetronics application, but should also support definition of the behavior of the Vetronics system through the connection of real actions to UI elements;2001 - beyond.pdf;Funcional
22;INT-22;It should be compatible with the common versions of Windows (98/ME/2000) and near-future versions;2001 - beyond.pdf;No funcional
23;INT-23;The UI-Editor should be an open-application so we can add new functionality to support new hardware configurations. To obtain this we must create an open framework on which we can Plug-In all functionality we desire;2001 - beyond.pdf;Funcional
24;INT-24;The UI interpreter (=VM) should show a “start menu” (defined in the UI by the UI Editor) when the system is powered up;2001 - beyond.pdf;Funcional
25;INT-25;The UI interpreter should interpret the downloaded UI code to navigate through the menus and perform defined actions.;2001 - beyond.pdf;Funcional
26;INT-26;The UI interpreter should control the interference between the defined UI and the environmental conditions, such as overruling user-defined UI elements and actions by an “emergency” UI and behavior. This is the decision-agent we need for content prioritization;2001 - beyond.pdf;Funcional
27;INT-27;The UI Editor should allow the user to create/modify menus;2001 - beyond.pdf;Funcional
28;INT-28;The UI Editor should enable the user to associate an event to one or more actions.;2001 - beyond.pdf;Funcional
29;INT-29;The UI Editor should be a user friendly and powerful development tool, attention for visualization and simulation issues, attention for solutions that speed up the development of the UI, attention for general usability issues and user interface design: the Windows guidelines should be followed;2001 - beyond.pdf;Funcional
30;INT-30;The UI Editor must have a simulation module incorporated so we can try the complete system off-line on our development computer before loading the generated code into the Vector System.;2001 - beyond.pdf;Funcional
31;INT-31;Any operation requiring the user to supply a file name shall allow the user either to select the files from a list derived from files in the currently open application or to key in a file name, a relative path name, or a complete path name;2001 - hats.pdf;Funcional
32;INT-32;For any operation where the user is prompted to select from a list, the user shall be able to cancel the operation;2001 - hats.pdf;Funcional
33;INT-33;Output pretty-printed text files and SDTs shall only be displayed when the user requests;2001 - hats.pdf;Funcional
34;INT-34;When collecting generated output files from HATS-SML, the HATS-GUI shall overwrite any file whose name is generated automatically;2001 - hats.pdf;Funcional
35;INT-35;Output pretty-printed text files and SDTs shall only be displayed when the user requests.;2001 - hats.pdf;Funcional
36;INT-36;The main interface shall be menu driven.;2001 - hats.pdf;Funcional
37;INT-37;The File menu shall contain menu items related to manipulating individual files and for closing the HATS-GUI application;2001 - hats.pdf;Funcional
38;INT-38;The Application menu shall contain items related to manipulating entire applications;2001 - hats.pdf;Funcional
39;INT-39;The Configure menu shall contain items related to modifying the configuration of the application;2001 - hats.pdf;Funcional
40;INT-40;The Run menu shall contain items related to executing the HATS-SML programs;2001 - hats.pdf;Funcional
41;INT-41;The View menu shall contain items related to viewing HATS-SML output;2001 - hats.pdf;Funcional
42;INT-42;The File/Select menu item shall provide an interface for selecting files within the currently open application;2001 - hats.pdf;Funcional
43;INT-43;The File/Save-as menu item shall provide an interface for saving a previously selected file under a different name;2001 - hats.pdf;Funcional
44;INT-44;The File/Delete menu item shall provide an interface for deleting a selected file. The HATS-GUI shall prompt the user to confirm deletion prior to completing this action;2001 - hats.pdf;Funcional
45;INT-45;The File/Exit menu item shall provide an interface for exiting the HATS-GUI;2001 - hats.pdf;Funcional
46;INT-46;The Application/Select menu item shall provide an interface for selecting and opening an application;2001 - hats.pdf;Funcional
47;INT-47;The Application/Close menu item shall provide an interface for closing an application;2001 - hats.pdf;Funcional
48;INT-48;The Application/Save menu item shall provide an interface for saving application configuration information;2001 - hats.pdf;Funcional
49;INT-49;The Application/Save-as menu item shall provide an interface for saving an application and its associated files under a different name;2001 - hats.pdf;Funcional
50;INT-50;The Application/Delete menu item shall provide an interface for deleting an application and all the files in the application directory. The HATS-GUI shall prompt the user to confirm deletion prior to completing this action;2001 - hats.pdf;Funcional
51;INT-51;The Configure/Editors menu item shall provide an interface for the user to enter editor configuration information. This information shall be used when editors are started as processes;2001 - hats.pdf;Funcional
52;INT-52;The Configure/Node Display menu item shall provide an interface for configuring the display of nodes;2001 - hats.pdf;Funcional
53;INT-53;The HATS-GUI shall allow the user to specify the number of levels of nodes to expand during SDT viewing;2001 - hats.pdf;Funcional
54;INT-54;The HATS-GUI shall allow the user to select the colors for types of displayed nodes in a displayed graph. At a minimum, the system shall provide eight colors (red, yellow, white, black, green, blue, orange, and violet) for displayed nodes;2001 - hats.pdf;Funcional
55;INT-55;The HATS-GUI shall allow the user to select the shapes for types of displayed nodes in a displayed graph. At a minimum, the system shall provide two shapes, rectangles and ellipses, for displayed nodes;2001 - hats.pdf;Funcional
56;INT-56;The Configure/File Associations menu item shall provide an interface for associating files in an application;2001 - hats.pdf;Funcional
57;INT-57;The Configure/HATS-SML menu item shall provide an interface for the user to enter implementation-dependent information for starting HATS-SML processes;2001 - hats.pdf;Funcional
58;INT-58;The Run/Generate Parser menu item shall provide an interface for generating a parser program;2001 - hats.pdf;Funcional
59;INT-59;The Run/Parse Target menu item shall provide an interface for selecting and parsing target programs;2001 - hats.pdf;Funcional
60;INT-60;The Run/Parse Program menu item shall provide an interface for selecting and parsing transformation language programs;2001 - hats.pdf;Funcional
61;INT-61;The Run/Execute Transforms menu item shall provide an interface for selecting and executing transformation language programs;2001 - hats.pdf;Funcional
62;INT-62;The Run/Pretty-print menu item shall provide an interface for selecting SDTs and pretty-print style files and formatting the SDT according to the style.;2001 - hats.pdf;Funcional
