Documento;Enunciado
2001 - hats.pdf;HATS was developed to explore transformation-based software development. Transformations are a wellknown formal method for developing software. The HATS-GUI is intended to provide HATS users with an intuitive graphical interface to the HATS system. HATS is publicly available, and the HATS-GUI will be delivered with HATS. The purpose of HATS is to perform program transformations in a provably correct fashion. This enables users to construct software by transforming a target program, or simply a target, written in an abstract language to a transformed output program written in a more concrete language. By demonstrating that the transformations preserve the semantics of the target program, the user has assurance that the transformed program is correct. HATS applies a sequence of transformations to a target program by following instructions in a transformation language program. A transformation language program consists of sequences of transformation instructions and constructs to control the application of transformations.
2001 - beyond.pdf;"BEYOND is a macro-project focused on improving user interfaces. This document presents some projects with their individual problem areas and domains.
1. Philips DVS aims at developing a prototype of an authoring tool for visualisation, specification, design, code generation of user interfaces for consumer products, with particular emphasis on screen based user interfaces and control, and taking into account the constraints of the consumer world as mentioned above.
The high level requirements for this authoring tool are:
- The authoring tool should allow easy modification of the behaviour of user interfaces.
- The authoring tool should support easy development of adaptive user interfaces.
- The authoring tool should allow the functional requirements specification of thenext generation of consumer products to be developed in a much faster and efficient manner.
2.  In other project, we desire to have an ‘intelligent’ software layer having the most important feature that the User Interface is User Definable. The software structure of the firmware should be suitable for adding a ‘UIinterpreter’ (to interprete and visualize the UI code generated by the UI Editor; so a very important component in this project). 
To make our UI-Editor complete, it must have a simulation module incorporated so we can try the complete system off-line on our development computer before loading the generated code into the Vector System."
2003 - qheadache.pdf;"The product is a computerized game that displays an interface used to solve a specific headache. The product runs as a standalone
application. Its user interface uses menus, graphics and sounds. The product requires the use of a keyboard and a mouse to interface with the
user. It requires a graphical display of at least 800*600 resolution. The users consist of anyone who wants to play a simple game who knows how to
operate a computer, with a beginning level player starting at age 8, up through an advanced level player who could be an adult."
2005 - triangle.pdf;"Triangular Games is a stand-alone software application that is meant to realize games described in the article “Games on Triangulations”. A triangulation game is a strategic game played on a triangular grid, typically by two players. The objective of the game is to create a path that connects three sides of the triangular grid. Players take turns placing lines or dots on the grid, with the goal of preventing their opponent from completing a path while also trying to complete their own. The software makes it possible to play multiple triangulation games.  The games may be played alone or
against another person, depending on the type of game. A graphical user interface will be shown to the user. This user interface is mainly mouse controlled but may also be used with a keyboard as well.
By default, the system will be able to implement three different games, namely constructing, transforming and marking. New games may be added to the software easily without the need to modify the code of the original application. These added games will be automatically selectable through the application’s graphical user interface. The software will be implemented using the Java-platform. This makes it possible to run the application on multiple different environments without any modification to the code. "
1999 - multi-mahjong.html;"MultiMahjong is a product consisting of two programs - a MultiMahjongServer and a MultiMahjongClient. This Server/Client architecture will allow up to 4 players to play Mahjong against each other over a TCP/IP network. The MultiMahjongClient program will also allow 1 player to play in a stand-alone mode.
As any game of Mahjong requires 4 players to play, and there may not be 4 people available for a network game, the game will allow users to choose enough computer opponents to make up the required 4 players. In a single player game, the user will play against 3 computer opponents.
To play the game, users will use the MultiMahjongClient. The MultiMahjongServer is to reside on a TCP/IP server and will communicate with MultiMahjongClients."
2005 - phin.pdf;This document describes the Public Health Information Network (PHIN) functional requirements for systems implemented to participate in the management of outbreaks and other health events. Outbreak Management (OM) is the PHIN functional area intended to support the needs of investigation, monitoring, management, analysis, and reporting of a health event or act of bioterrorism. OM should aid in the collection and analysis of data to support identifying and containing the health event. OM systems should be configurable to meet the needs of different types of health events, and capture data related to cases, contacts, investigations, exposures, relationships, clinical and environmental specimens/samples, laboratory results, vaccinations and treatments, travel history, and conveyance information. The application should also allow for new objects to be defined and created during the course of an investigation. Central to the functionality of a system supporting OM is the ability to collect data related to cases and exposures and to create traceable links between all appropriate entities. By tracing the mechanism of transmission and identifying the source of the health event, the appropriate response staff can more effectively contain the event. Systems supporting OM should also be integrated with the systems supporting early event detection, countermeasure administration, laboratory, and surveillance to achieve the primary goal of managing the response to and mitigating the effects of an event.
2005 - clarus low.pdf;"The Clarus Initiative is essentially a plan to create a “network of networks” — much like the Internet — for surface transportation environmental data. While the Internet is an interconnection of computer networks, Clarus will be an interconnection of  environmental (weather, pavement, and water level condition) data collection networks. Each of the weather networks will function autonomously; they will collect information and disseminate it internally without direction or dependence on Clarus.  Each participating weather network’s connection to Clarus will add two new possible modes of functionality. First, the participants will be able to share collected environmental data with Clarus. Second, participants will be able to receive environmental data collected by Clarus. The primary recipients of this data will be weather service providers, but any Clarus participants would be able to receive data if they so chose. This concept of autonomous data sharing is comparable to the World Wide Web layer of the Internet, where organizations can publish information on web pages, or browse and download information published by other organizations on the web. Ownership of the data is retained by the organization that provided the data to Clarus, and the provider organization can restrict the dissemination of the data through data sharing agreements with the Clarus program.
The Clarus system will add a third mode of functionality, which might be called “meta-librarian.” The Clarus system will collect, organize, and quality check the environmental data to be published by the system. The data will be collected from the participants, organized by location and type of data, and quality flags will be added. When this is done, the data will be published to the Service Providers and other participant/consumers in Clarus.
The principal interfaces that will be critical to Clarus are the interface between Clarus and the participating collectors, and the interface between Clarus and the participating service providers. MADIS, for example, uses NetCDF files as a standard interchange format. While the service provider interface is completely within the control of the Clarus Initiative, the interface(s) to the collectors may be influenced by what interfaces these systems can support.
While the participants may want to access the network through “a one-stop Internet portal for all surface transportation weather and pavement related observations”, there is no requirement that the system be a single centralized system. Designers are free to explore centralized and de-centralized architectures so long as the interfaces with participants give the appearance of a “one-stop” portal.
The issues of data retention and archive are also not explicitly addressed. While some data retention is likely to be necessary to support the quality checking function and the publication function, there is a clear recognition that as the data age, they lose value to all but climatological investigators and other researchers. This phase of development does not include directly archiving the large volume of environmental data in Clarus. Considering the technical scope of such an effort, archiving may be externalized or be deferred until the Clarus network is operational and proven.
The Clarus system will collect data from contributing members, organize and quality check the data, and then publish the data for use by service providers and other members of the network."
2009 - inventory 2.0.pdf;The Inventory Management System is an application designed to allow the Construction Junction staff to create, maintain and view the contents and value of its inventory of items in a categorized way. It also facilitates the process of receiving items into the Construction Junction inventory via the drop-off, pick-up and deconstruction donation processes so that items can be traced from donation through sale. It also integrates with the QuickBooks Point of Sale retail management software currently in use by Construction Junction as well as the organization's website.
2008 - vub.pdf;"The product will support the functionality of a PMS (Publication Managemente System), which can be accessed by command line and through a web browser (following the W3C XHTML-standards [3]). The PMS will manage a database with bibliographical information and have the possibility to save the entire text of a publication in pdf and postscript. It will be able to automatically retrieve bibliographical information (like author, title, etc.) out of the complete text of a publication and will provide the possibility to correct this manually, if the obtained information is incorrect or insufficient. The concept ‘author’ (name, first name, institute. . . ) will be explicitly known by the system and the user will be able to manually indicate that references like ‘D. Vermeir’ and ‘Dirk Vermeir’ refer to the same author. The possibility will also be provided to receive a ‘bulk update’. The system will support several types of accessing, including accessing of the contents of a publication, if the complete text (or only the abstract) is available and it will also support access control. The PMS will rely on a database and a web server, which can be accessed by a web browser and by command line.
There will be multiple types of users:
• A Guest is an anonymous user that is not connected to the VUB-network. Therefore he/she will only be allowed to log in or register.
• A VUB-Network User is connected to the VUB-network, but is not logged in. The PMS will recognize them by their IP-address. They can access the database, search for publications and download them.
• A Member is a user that has logged into the PMS and whose account only allows him to search for publications and download them.
• A Publisher is a logged in user that can search for, upload and download publications.
• A Moderator has the same prerequisites and available functions as a Member, extended with the authority to edit and delete publications.
• An Administrator has all the possibilities of a moderator extended with the responsibility for the technical aspects of the PMS. He/She also has the possibility to up or downgrade the accounts of users and in extreme cases he can even expel registered users.
Accessing the PMS from outside the VUB-network is only possible for logged in users. Person(s) that are not logged in and/or connected to the VUB-network will only have Guest privileges. To be able to log in a user will have to register an account. This requires that the user provides their first and last name, a password and a valid e-mail address. If a user is accepted, he/she will receive a validation mail and by that way he/she will be able to confirm
the registration of the user account. Any user will be able to search for publications by title, author(s), institute,. . . Also will the user be able to specify that ‘D. Vermeir’ and ‘Dirk Vermeir’ refer to the same author and that ‘VUB’ or ‘Vrije Universiteit Brussel’ refer to the same institute"
2005 - znix.pdf;"Project ZNIX envisions a world which leaves behind a one that users manage information by mastering software applications. Emphasis in this approach is on information and its semantics. It seeks to make meaningful information accessible to users in ways they themselves declare to be logical. Product Functions:
• Provide a centralized archive for user’s information.
• Provide hierarchical model for managing the archived information. Hierarchies maybe inheritance based, association based or based on any other type of relationship conceived by the user.
• Allow the user to add, remove, modify or back up (to removable storage devices) arbitrary pieces of information without disrupting the hierarchy.
• Assist the user in building up his information hierarchy by automating such tasks as data capturing and categorizing.
• Provide a simple API for developing ZNIX-aware client applications.
The browser GUI SHOULD be designed such that even casual users could easily manipulate their information with little or no training. It is expected that the bulk of the ZNIX user-base would be home users, managerial staff, executives, and researchers who are likely to possess only basic IT skills. The system design MUST be subjected to the following constraints: Hardware: Intel Pentium III or compatible 1-GHz PC with 256 megabytes of RAM.  "
